Label,Description,Expression,0_CARS,1_CAR_1CV,1_CAR_1AV,2_CARS_2CV,2_CARS_2AV,2_CARS_1CV1AV,3_CARS_3CV,3_CARS_3AV,3_CARS_2CV1AV,3_CARS_1CV2AV,4_CARS_4CV
,young adults to drivers ratio for 2 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==2) * (df.num_young_adults/df.num_drivers), 0)",coef_young_adults_to_drivers_ratio_for_2_driver_household_0_CARS,coef_young_adults_to_drivers_ratio_for_2_driver_household_1_CAR_1CV,coef_young_adults_to_drivers_ratio_for_2_driver_household_1_CAR_1AV,,,,,,,,
,young adults to drivers ratio for 3 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==3) * (df.num_young_adults/df.num_drivers), 0)",coef_young_adults_to_drivers_ratio_for_3_driver_household_0_CARS,coef_young_adults_to_drivers_ratio_for_3_driver_household_1_CAR_1CV,coef_young_adults_to_drivers_ratio_for_3_driver_household_1_CAR_1AV,coef_young_adults_to_drivers_ratio_for_3_driver_household_2_CARS_2CV,coef_young_adults_to_drivers_ratio_for_3_driver_household_2_CARS_2AV,coef_young_adults_to_drivers_ratio_for_3_driver_household_2_CARS_1CV1AV,,,,,
,young adults to drivers ratio for 4+ driver household,"@np.where(df.num_drivers > 0, (df.num_drivers>=4) * (df.num_young_adults/df.num_drivers), 0)",coef_young_adults_to_drivers_ratio_for_4_driver_household_0_CARS,coef_young_adults_to_drivers_ratio_for_4_driver_household_1_CAR_1CV,coef_young_adults_to_drivers_ratio_for_4_driver_household_1_CAR_1AV,coef_young_adults_to_drivers_ratio_for_4_driver_household_2_CARS_2CV,coef_young_adults_to_drivers_ratio_for_4_driver_household_2_CARS_2AV,coef_young_adults_to_drivers_ratio_for_4_driver_household_2_CARS_1CV1AV,coef_young_adults_to_drivers_ratio_for_4_driver_household_3_CARS_3CV,coef_young_adults_to_drivers_ratio_for_4_driver_household_3_CARS_3AV,coef_young_adults_to_drivers_ratio_for_4_driver_household_3_CARS_2CV1AV,coef_young_adults_to_drivers_ratio_for_4_driver_household_3_CARS_1CV2AV,
,school children to drivers ratio for 1 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==1) * (df.num_children_6_to_15/df.num_drivers), 0)",coef_school_children_to_drivers_ratio_for_1_driver_household_0_CARS,,,coef_school_children_to_drivers_ratio_for_1_driver_household_2_CARS_2CV,coef_school_children_to_drivers_ratio_for_1_driver_household_2_CARS_2AV,coef_school_children_to_drivers_ratio_for_1_driver_household_2_CARS_1CV1AV,coef_school_children_to_drivers_ratio_for_1_driver_household_3_CARS_3CV,coef_school_children_to_drivers_ratio_for_1_driver_household_3_CARS_3AV,coef_school_children_to_drivers_ratio_for_1_driver_household_3_CARS_2CV1AV,coef_school_children_to_drivers_ratio_for_1_driver_household_3_CARS_1CV2AV,coef_school_children_to_drivers_ratio_for_1_driver_household_4_CARS_4CV
,school children to drivers ratio for 2 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==2) * (df.num_children_6_to_15/df.num_drivers), 0)",coef_school_children_to_drivers_ratio_for_2_driver_household_0_CARS,coef_school_children_to_drivers_ratio_for_2_driver_household_1_CAR_1CV,coef_school_children_to_drivers_ratio_for_2_driver_household_1_CAR_1AV,,,,coef_school_children_to_drivers_ratio_for_2_driver_household_3_CARS_3CV,coef_school_children_to_drivers_ratio_for_2_driver_household_3_CARS_3AV,coef_school_children_to_drivers_ratio_for_2_driver_household_3_CARS_2CV1AV,coef_school_children_to_drivers_ratio_for_2_driver_household_3_CARS_1CV2AV,coef_school_children_to_drivers_ratio_for_2_driver_household_4_CARS_4CV
,school children to drivers ratio for 3 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==3) * (df.num_children_6_to_15/df.num_drivers), 0)",coef_school_children_to_drivers_ratio_for_3_driver_household_0_CARS,coef_school_children_to_drivers_ratio_for_3_driver_household_1_CAR_1CV,coef_school_children_to_drivers_ratio_for_3_driver_household_1_CAR_1AV,coef_school_children_to_drivers_ratio_for_3_driver_household_2_CARS_2CV,coef_school_children_to_drivers_ratio_for_3_driver_household_2_CARS_2AV,coef_school_children_to_drivers_ratio_for_3_driver_household_2_CARS_1CV1AV,,,,,coef_school_children_to_drivers_ratio_for_3_driver_household_4_CARS_4CV
,school children to drivers ratio for 4+ driver household,"@np.where(df.num_drivers > 0, (df.num_drivers>=4) * (df.num_children_6_to_15/df.num_drivers), 0)",coef_school_children_to_drivers_ratio_for_4_driver_household_0_CARS,coef_school_children_to_drivers_ratio_for_4_driver_household_1_CAR_1CV,coef_school_children_to_drivers_ratio_for_4_driver_household_1_CAR_1AV,coef_school_children_to_drivers_ratio_for_4_driver_household_2_CARS_2CV,coef_school_children_to_drivers_ratio_for_4_driver_household_2_CARS_2AV,coef_school_children_to_drivers_ratio_for_4_driver_household_2_CARS_1CV1AV,coef_school_children_to_drivers_ratio_for_4_driver_household_3_CARS_3CV,coef_school_children_to_drivers_ratio_for_4_driver_household_3_CARS_3AV,coef_school_children_to_drivers_ratio_for_4_driver_household_3_CARS_2CV1AV,coef_school_children_to_drivers_ratio_for_4_driver_household_3_CARS_1CV2AV,
,young retirees to drivers ratio for 1 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==1) * (df.num_young_retirees/df.num_drivers), 0)",coef_young_retirees_to_drivers_ratio_for_1_driver_household_0_CARS,,,coef_young_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_2CV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_2AV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_1CV1AV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_3CV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_3AV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_2CV1AV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_1CV2AV,coef_young_retirees_to_drivers_ratio_for_1_driver_household_4_CARS_4CV
,young retirees to drivers ratio for 2 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==2) * (df.num_young_retirees/df.num_drivers), 0)",coef_young_retirees_to_drivers_ratio_for_2_driver_household_0_CARS,coef_young_retirees_to_drivers_ratio_for_2_driver_household_1_CAR_1CV,coef_young_retirees_to_drivers_ratio_for_2_driver_household_1_CAR_1AV,,,,coef_young_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_3CV,coef_young_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_3AV,coef_young_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_2CV1AV,coef_young_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_1CV2AV,coef_young_retirees_to_drivers_ratio_for_2_driver_household_4_CARS_4CV
,young retirees to drivers ratio for 3 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==3) * (df.num_young_retirees/df.num_drivers), 0)",coef_young_retirees_to_drivers_ratio_for_3_driver_household_0_CARS,coef_young_retirees_to_drivers_ratio_for_3_driver_household_1_CAR_1CV,coef_young_retirees_to_drivers_ratio_for_3_driver_household_1_CAR_1AV,coef_young_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_2CV,coef_young_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_2AV,coef_young_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_1CV1AV,,,,,coef_young_retirees_to_drivers_ratio_for_3_driver_household_4_CARS_4CV
,young retirees to drivers ratio for 4+ driver household,"@np.where(df.num_drivers > 0, (df.num_drivers>=4) * (df.num_young_retirees/df.num_drivers), 0)",coef_young_retirees_to_drivers_ratio_for_4_driver_household_0_CARS,coef_young_retirees_to_drivers_ratio_for_4_driver_household_1_CAR_1CV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_1_CAR_1AV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_2CV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_2AV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_1CV1AV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_3CV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_3AV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_2CV1AV,coef_young_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_1CV2AV,
,old retirees to drivers ratio for 1 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==1) * (df.num_old_retirees/df.num_drivers), 0)",coef_old_retirees_to_drivers_ratio_for_1_driver_household_0_CARS,,,coef_old_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_2CV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_2AV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_2_CARS_1CV1AV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_3CV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_3AV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_2CV1AV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_3_CARS_1CV2AV,coef_old_retirees_to_drivers_ratio_for_1_driver_household_4_CARS_4CV
,old retirees to drivers ratio for 2 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==2) * (df.num_old_retirees/df.num_drivers), 0)",coef_old_retirees_to_drivers_ratio_for_2_driver_household_0_CARS,coef_old_retirees_to_drivers_ratio_for_2_driver_household_1_CAR_1CV,coef_old_retirees_to_drivers_ratio_for_2_driver_household_1_CAR_1AV,,,,coef_old_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_3CV,coef_old_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_3AV,coef_old_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_2CV1AV,coef_old_retirees_to_drivers_ratio_for_2_driver_household_3_CARS_1CV2AV,coef_old_retirees_to_drivers_ratio_for_2_driver_household_4_CARS_4CV
,old retirees to drivers ratio for 3 driver household,"@np.where(df.num_drivers > 0, (df.num_drivers==3) * (df.num_old_retirees/df.num_drivers), 0)",coef_old_retirees_to_drivers_ratio_for_3_driver_household_0_CARS,coef_old_retirees_to_drivers_ratio_for_3_driver_household_1_CAR_1CV,coef_old_retirees_to_drivers_ratio_for_3_driver_household_1_CAR_1AV,coef_old_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_2CV,coef_old_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_2AV,coef_old_retirees_to_drivers_ratio_for_3_driver_household_2_CARS_1CV1AV,,,,,coef_old_retirees_to_drivers_ratio_for_3_driver_household_4_CARS_4CV
,old retirees to drivers ratio for 4+ driver household,"@np.where(df.num_drivers > 0, (df.num_drivers>=4) * (df.num_old_retirees/df.num_drivers), 0)",coef_old_retirees_to_drivers_ratio_for_4_driver_household_0_CARS,coef_old_retirees_to_drivers_ratio_for_4_driver_household_1_CAR_1CV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_1_CAR_1AV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_2CV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_2AV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_2_CARS_1CV1AV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_3CV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_3AV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_2CV1AV,coef_old_retirees_to_drivers_ratio_for_4_driver_household_3_CARS_1CV2AV,
,household income <30k,@(df.income<30000),coef_household_income_30k_0_CARS,coef_household_income_30k_1_CAR_1CV,coef_household_income_30k_1_CAR_1AV,,,,coef_household_income_30k_3_CARS_3CV,coef_household_income_30k_3_CARS_3AV,coef_household_income_30k_3_CARS_2CV1AV,coef_household_income_30k_3_CARS_1CV2AV,coef_household_income_30k_4_CARS_4CV
,household income 30-60k,@((df.income>=30000) & (df.income<60000)),coef_household_income_3060k_0_CARS,coef_household_income_3060k_1_CAR_1CV,coef_household_income_3060k_1_CAR_1AV,,,,coef_household_income_3060k_3_CARS_3CV,coef_household_income_3060k_3_CARS_3AV,coef_household_income_3060k_3_CARS_2CV1AV,coef_household_income_3060k_3_CARS_1CV2AV,coef_household_income_3060k_4_CARS_4CV
,household income 100k+,@(df.income>=100000),coef_household_income_100k_0_CARS,coef_household_income_100k_1_CAR_1CV,coef_household_income_100k_1_CAR_1AV,,,,coef_household_income_100k_3_CARS_3CV,coef_household_income_100k_3_CARS_3AV,coef_household_income_100k_3_CARS_2CV1AV,coef_household_income_100k_3_CARS_1CV2AV,coef_household_income_100k_4_CARS_4CV
,low educational level for 1 driver household,@((df.num_drivers==1) & (df.num_highschool_graduates==0)),coef_low_educational_level_for_1_driver_household_0_CARS,,,,,,coef_low_educational_level_for_1_driver_household_3_CARS_3CV,coef_low_educational_level_for_1_driver_household_3_CARS_3AV,coef_low_educational_level_for_1_driver_household_3_CARS_2CV1AV,coef_low_educational_level_for_1_driver_household_3_CARS_1CV2AV,coef_low_educational_level_for_1_driver_household_4_CARS_4CV
,low educational level for 2 driver household,@((df.num_drivers==2) & (df.num_highschool_graduates==0)),coef_low_educational_level_for_2_driver_household_0_CARS,coef_low_educational_level_for_2_driver_household_1_CAR_1CV,coef_low_educational_level_for_2_driver_household_1_CAR_1AV,,,,coef_low_educational_level_for_2_driver_household_3_CARS_3CV,coef_low_educational_level_for_2_driver_household_3_CARS_3AV,coef_low_educational_level_for_2_driver_household_3_CARS_2CV1AV,coef_low_educational_level_for_2_driver_household_3_CARS_1CV2AV,coef_low_educational_level_for_2_driver_household_4_CARS_4CV
,low educational level for 3 driver household,@((df.num_drivers==3) & (df.num_highschool_graduates==0)),coef_low_educational_level_for_3_driver_household_0_CARS,coef_low_educational_level_for_3_driver_household_1_CAR_1CV,coef_low_educational_level_for_3_driver_household_1_CAR_1AV,,,,,,,,coef_low_educational_level_for_3_driver_household_4_CARS_4CV
,low educational level for 4+ driver household,@((df.num_drivers>=4) & (df.num_highschool_graduates==0)),coef_low_educational_level_for_4_driver_household_0_CARS,coef_low_educational_level_for_4_driver_household_1_CAR_1CV,coef_low_educational_level_for_4_driver_household_1_CAR_1AV,,,,coef_low_educational_level_for_4_driver_household_3_CARS_3CV,coef_low_educational_level_for_4_driver_household_3_CARS_3AV,coef_low_educational_level_for_4_driver_household_3_CARS_2CV1AV,coef_low_educational_level_for_4_driver_household_3_CARS_1CV2AV,
,detached single family house,@df.building_size == 2,coef_detached_single_family_house_0_CARS,coef_detached_single_family_house_1_CAR_1CV,coef_detached_single_family_house_1_CAR_1AV,,,,coef_detached_single_family_house_3_CARS_3CV,coef_detached_single_family_house_3_CARS_3AV,coef_detached_single_family_house_3_CARS_2CV1AV,coef_detached_single_family_house_3_CARS_1CV2AV,coef_detached_single_family_house_4_CARS_4CV
,Intersection density,TotInt/502,,,,,,,coef_intersection_density_3_CARS_3CV,coef_intersection_density_3_CARS_3AV,coef_intersection_density_3_CARS_2CV1AV,coef_intersection_density_3_CARS_1CV2AV,coef_intersection_density_4_CARS_4CV
,Population density,PopDen,coef_population_density_0_CARS,coef_population_density_1_CAR_1CV,coef_population_density_1_CAR_1AV,,,,,,,,
,Retail density,RetEmpDen,coef_retail_density_0_CARS,coef_retail_density_1_CAR_1CV,coef_retail_density_1_CAR_1AV,,,,,,,,
,Non-motorized zonal accessbility,@df.nonmandatory_nm_accessibility,coef_nonmotorized_zonal_accessbility_0_CARS,coef_nonmotorized_zonal_accessbility_1_CAR_1CV,coef_nonmotorized_zonal_accessbility_1_CAR_1AV,,,,coef_nonmotorized_zonal_accessbility_3_CARS_3CV,coef_nonmotorized_zonal_accessbility_3_CARS_3AV,coef_nonmotorized_zonal_accessbility_3_CARS_2CV1AV,coef_nonmotorized_zonal_accessbility_3_CARS_1CV2AV,coef_nonmotorized_zonal_accessbility_4_CARS_4CV
,auto-transit zonal accessibility,@(df.nonmandatory_auto_accessibility - df.nonmandatory_transit_accessibility),coef_autotransit_zonal_accessibility_0_CARS,coef_autotransit_zonal_accessibility_1_CAR_1CV,coef_autotransit_zonal_accessibility_1_CAR_1AV,,,,,,,,
#,worker mandatory tour auto dependency,@((setting('use_accessibility') == 1) & (##workersAutoDependency##)),coef_worker_mandatory_tour_auto_dependency_0_CARS,coef_worker_mandatory_tour_auto_dependency_1_CAR_1CV,coef_worker_mandatory_tour_auto_dependency_1_CAR_1AV,,,,coef_worker_mandatory_tour_auto_dependency_3_CARS_3CV,coef_worker_mandatory_tour_auto_dependency_3_CARS_3AV,coef_worker_mandatory_tour_auto_dependency_3_CARS_2CV1AV,coef_worker_mandatory_tour_auto_dependency_3_CARS_1CV2AV,coef_worker_mandatory_tour_auto_dependency_4_CARS_4CV
#,student mandatory tour auto dependency,@((setting('use_accessibility') == 1) & (##studentsAutoDependency##)),coef_student_mandatory_tour_auto_dependency_0_CARS,coef_student_mandatory_tour_auto_dependency_1_CAR_1CV,coef_student_mandatory_tour_auto_dependency_1_CAR_1AV,,,,,,,,
#,worker mandatory tour rail mode portion,@((setting('use_accessibility') == 1) & (##workersRailProportion##)),coef_worker_mandatory_tour_rail_mode_portion_0_CARS,coef_worker_mandatory_tour_rail_mode_portion_1_CAR_1CV,coef_worker_mandatory_tour_rail_mode_portion_1_CAR_1AV,,,,coef_worker_mandatory_tour_rail_mode_portion_3_CARS_3CV,coef_worker_mandatory_tour_rail_mode_portion_3_CARS_3AV,coef_worker_mandatory_tour_rail_mode_portion_3_CARS_2CV1AV,coef_worker_mandatory_tour_rail_mode_portion_3_CARS_1CV2AV,coef_worker_mandatory_tour_rail_mode_portion_4_CARS_4CV
#,student mandatory tour rail mode portion,@((setting('use_accessibility') == 1) & (##studentsRailProportion##)),coef_student_mandatory_tour_rail_mode_portion_0_CARS,coef_student_mandatory_tour_rail_mode_portion_1_CAR_1CV,coef_student_mandatory_tour_rail_mode_portion_1_CAR_1AV,,,,,,,,
,ASC adjustment for non-GQ PRE-AO,@df.hh_unit_type==1,,coef_asc_adjustment_for_nongq_preao_1_CAR_1CV,coef_asc_adjustment_for_nongq_preao_1_CAR_1AV,coef_asc_adjustment_for_nongq_preao_2_CARS_2CV,coef_asc_adjustment_for_nongq_preao_2_CARS_2AV,coef_asc_adjustment_for_nongq_preao_2_CARS_1CV1AV,coef_asc_adjustment_for_nongq_preao_3_CARS_3CV,coef_asc_adjustment_for_nongq_preao_3_CARS_3AV,coef_asc_adjustment_for_nongq_preao_3_CARS_2CV1AV,coef_asc_adjustment_for_nongq_preao_3_CARS_1CV2AV,coef_asc_adjustment_for_nongq_preao_4_CARS_4CV
,ASC adjustment for non-GQ POST-AO,@((df.hh_unit_type==1) & (setting('use_accessibility') == 1)),,coef_asc_adjustment_for_nongq_postao_1_CAR_1CV,coef_asc_adjustment_for_nongq_postao_1_CAR_1AV,coef_asc_adjustment_for_nongq_postao_2_CARS_2CV,coef_asc_adjustment_for_nongq_postao_2_CARS_2AV,coef_asc_adjustment_for_nongq_postao_2_CARS_1CV1AV,coef_asc_adjustment_for_nongq_postao_3_CARS_3CV,coef_asc_adjustment_for_nongq_postao_3_CARS_3AV,coef_asc_adjustment_for_nongq_postao_3_CARS_2CV1AV,coef_asc_adjustment_for_nongq_postao_3_CARS_1CV2AV,coef_asc_adjustment_for_nongq_postao_4_CARS_4CV
,adjustment for 2 workers in non-family 0-car household,@((df.hh_type>3) & (df.num_workers==2)),coef_adjustment_for_2_workers_in_nonfamily_0car_household_0_CARS,,,,,,,,,,
,adjustment for 3 workers in non-family 0-car household,@((df.hh_type>3) & (df.num_workers==3)),coef_adjustment_for_3_workers_in_nonfamily_0car_household_0_CARS,,,,,,,,,,
,adjustment for 4+ workers in non-family 0-car household,@((df.hh_type>3) & (df.num_workers>3)),coef_adjustment_for_4_workers_in_nonfamily_0car_household_0_CARS,,,,,,,,,,
,adjustment for 4+ workers in family 0-car household,@((df.hh_type<=3) & (df.num_workers>3)),coef_adjustment_for_4_workers_in_family_0car_household_0_CARS,,,,,,,,,,
,TM2 Round 2 ASC adjustment for 1 workers in 0-car household,@df.num_workers==1,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_0_CARS,,,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_2_CARS_2CV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_2_CARS_2AV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_2_CARS_1CV1AV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_3_CARS_3CV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_3_CARS_3AV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_3_CARS_2CV1AV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_3_CARS_1CV2AV,coef_tm2_round_2_asc_adjustment_for_1_workers_in_0car_household_4_CARS_4CV
,TM2 Round 2 ASC adjustment for 2 workers in 0-car household,@df.num_workers==2,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_0_CARS,,,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_2_CARS_2CV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_2_CARS_2AV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_2_CARS_1CV1AV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_3_CARS_3CV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_3_CARS_3AV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_3_CARS_2CV1AV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_3_CARS_1CV2AV,coef_tm2_round_2_asc_adjustment_for_2_workers_in_0car_household_4_CARS_4CV
