Expression,eatout,escort,othdiscr,othmaint,school,shopping,social,univ,work,atwork
joint_walk_transit_ASC_no_auto,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164,0.622924164
joint_walk_transit_ASC_auto_decicient,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126,-5.163448126
joint_walk_transit_ASC_auto_sufficient,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357,-18.26453357
joint_drive_transit_ASC_no_auto,0,0,0,0,0,0,0,0,0,0
joint_drive_transit_ASC_auto_decicient,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337,-5.963221337
joint_drive_transit_ASC_auto_sufficient,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637,-8.045285637
#c,,,,,,,,,,
local_bus_ASC,-0.090703267,-0.090703267,-0.090703267,-0.090703267,-0.065086209,-0.090703267,-0.090703267,-0.065086209,0.066895065,-0.090703267
walk_light_rail_ASC,0.76895473,0.76895473,0.76895473,0.76895473,1.681400281,0.76895473,0.76895473,1.681400281,0.825556718,0.76895473
drive_light_rail_ASC,0.76895473,0.76895473,0.76895473,0.76895473,1.681400281,0.76895473,0.76895473,1.681400281,0.825556718,0.76895473
walk_ferry_ASC,0.94012381,0.94012381,0.94012381,0.94012381,2.020231679,0.94012381,0.94012381,2.020231679,0.933226069,0.94012381
drive_ferry_ASC,0.94012381,0.94012381,0.94012381,0.94012381,2.020231679,0.94012381,0.94012381,2.020231679,0.933226069,0.94012381
express_bus_ASC,0.969231623,0.969231623,0.969231623,0.969231623,0.324969383,0.969231623,0.969231623,0.324969383,-0.516547373,0.969231623
heavy_rail_ASC,0.770612112,0.770612112,0.770612112,0.770612112,0.962003782,0.770612112,0.770612112,0.962003782,0.647729737,0.770612112
commuter_rail_ASC,0.727018505,0.727018505,0.727018505,0.727018505,1.033620595,0.727018505,0.727018505,1.033620595,0.725503039,0.727018505
walk_transit_CBD_ASC,0.525,0.525,0.525,0.525,0.672,0.525,0.525,0.672,0.804,0.564
drive_transit_CBD_ASC,0.525,0.525,0.525,0.525,0.672,0.525,0.525,0.672,1.1,0.564
